Parameter Name,Category,Environment,Default Value,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
CMMC_SOLUTION_NAME,Application,All,Microsoft CMMC Enclave,CMMC compliance enclave solution identifier,Yes,String,Max 50 characters,Confidential,Security Team,None,Used in compliance reporting and auditing,[DATE]
CMMC_LEVEL_REQUIRED,Compliance,All,Level 3,Required CMMC compliance level,Yes,String,Level 1|Level 2|Level 3,Confidential,Compliance Team,DoD contract requirements,Foundational + Advanced + Expert,[DATE]
AZURE_GOVERNMENT_CLOUD,Cloud Platform,All,true,Deploy to Azure Government Cloud,Yes,Boolean,true|false,Secret,Platform Team,CMMC compliance,Required for CMMC Level 2+,[DATE]
AZURE_GOVERNMENT_REGION,Cloud Platform,All,USGov Virginia,Azure Government region,Yes,String,Valid Azure Gov region,Secret,Platform Team,Data sovereignty,US Government cloud region,[DATE]
TENANT_ID_GOVERNMENT,Azure Configuration,All,[gov-tenant-id],Azure Government tenant ID,Yes,String,GUID format,Secret,Platform Team,Government cloud access,DoD tenant identifier,[DATE]
SUBSCRIPTION_ID_GOVERNMENT,Azure Configuration,All,[gov-subscription-id],Azure Government subscription ID,Yes,String,GUID format,Secret,Platform Team,Government billing,CMMC-compliant subscription,[DATE]
FedRAMP_COMPLIANCE_LEVEL,Compliance,All,High,Required FedRAMP compliance level,Yes,String,Low|Moderate|High,Secret,Compliance Team,Federal authorization,Required for government use,[DATE]
NIST_SP_800_171_COMPLIANCE,Compliance,All,required,NIST SP 800-171 compliance requirement,Yes,String,required|optional,Confidential,Compliance Team,CUI protection,Controlled Unclassified Information,[DATE]
NIST_SP_800_53_CONTROLS,Compliance,All,required,NIST SP 800-53 security controls,Yes,String,required|optional,Confidential,Compliance Team,Security framework,Federal security controls,[DATE]
DATA_CLASSIFICATION_LEVEL,Data Protection,All,CUI,Data classification level,Yes,String,Public|Internal|CUI|Classified,Secret,Data Protection,Classification policy,Controlled Unclassified Information,[DATE]
FIPS_140_2_COMPLIANCE,Cryptography,All,Level 2,FIPS 140-2 compliance level,Yes,String,Level 1|Level 2|Level 3|Level 4,Secret,Cryptography Team,Hardware security modules,Validated cryptographic modules,[DATE]
ENCRYPTION_ALGORITHM,Cryptography,All,AES-256,Required encryption algorithm,Yes,String,Valid encryption algorithm,Secret,Cryptography Team,FIPS compliance,Government-approved encryption,[DATE]
ENCRYPTION_KEY_LENGTH,Cryptography,All,256,Encryption key length in bits,Yes,Integer,128-512,Secret,Cryptography Team,Security requirements,Minimum 256-bit keys,[DATE]
PKI_CERTIFICATE_AUTHORITY,Cryptography,All,DoD PKI,Public Key Infrastructure authority,Yes,String,Valid PKI CA,Secret,PKI Team,Certificate management,Department of Defense PKI,[DATE]
COMMON_ACCESS_CARD_REQUIRED,Authentication,All,true,Require Common Access Card (CAC) authentication,Yes,Boolean,true|false,Secret,Security Team,DoD identity,Smart card authentication,[DATE]
PIV_CARD_AUTHENTICATION,Authentication,All,true,Enable PIV card authentication,Yes,Boolean,true|false,Secret,Security Team,Federal identity,Personal Identity Verification,[DATE]
MULTI_FACTOR_AUTHENTICATION,Authentication,All,required,Multi-factor authentication requirement,Yes,String,required|optional|disabled,Confidential,Security Team,Access control,Mandatory MFA for all access,[DATE]
PRIVILEGED_ACCESS_MANAGEMENT,Security,All,required,Privileged access management system,Yes,String,required|optional,Secret,Security Team,Administrative access,PAM for privileged accounts,[DATE]
ZERO_TRUST_ARCHITECTURE,Security,All,enabled,Zero Trust network architecture,Yes,String,enabled|disabled,Confidential,Security Team,Network security,Never trust always verify,[DATE]
NETWORK_SEGMENTATION,Network Security,All,microsegmentation,Network segmentation strategy,Yes,String,basic|advanced|microsegmentation,Secret,Network Team,Traffic isolation,Granular network controls,[DATE]
INTRUSION_DETECTION_SYSTEM,Security Monitoring,All,required,Intrusion detection system,Yes,String,required|optional,Confidential,SOC Team,Threat detection,Real-time monitoring,[DATE]
INTRUSION_PREVENTION_SYSTEM,Security Monitoring,All,required,Intrusion prevention system,Yes,String,required|optional,Confidential,SOC Team,Threat prevention,Automated threat blocking,[DATE]
