# SCOPE ASSUMPTIONS - BASELINE (MULTIPLIER 1.0)
#WIDTH: 25,35,33,32,32,39,44
#ALIGN: left,left,left,left,left,left,left
Category,Baseline Assumption,Current Scope,Small (1x),Medium (2x),Large (3x),Notes
Solution Scope,DGX Systems,8x DGX H100 systems,4 systems (32 GPUs),8 systems (64 GPUs),16 systems (128 GPUs),DGX H100 with 8x H100 80GB per system
Solution Scope,AI Workload Type,LLM training and inference,Small models <50B params,LLMs 50B-500B params,LLMs >500B params + multi-modal,Training complexity and dataset size
Integration,Research Team Size,50-75 data scientists,20-30 users,50-75 users,100+ users,Concurrent GPU access and job scheduling
Integration,Storage Infrastructure,1 PB NVMe storage,500 TB,1 PB,2 PB+,High-performance parallel file system
Data Volume,Training Datasets,Multi-TB datasets,100-500 TB,1-5 PB,10+ PB,Dataset storage and streaming requirements
Data Volume,Model Checkpointing,Frequent checkpointing,Hourly,Every few hours,Continuous,Storage I/O and capacity impact
Technical Environment,Network Fabric,InfiniBand 400 Gbps,200 Gbps IB,400 Gbps IB (Quantum-2),800 Gbps IB,Multi-node distributed training performance
Technical Environment,Datacenter Readiness,Facility upgrades required,Minimal upgrades,Moderate (power/cooling),Major buildout,500 kW power and cooling infrastructure
Technical Environment,Deployment Model,On-premises datacenter,Colocation,On-prem datacenter,Custom DGX-Ready facility,Physical deployment location
Security & Compliance,Data Classification,Proprietary AI models,Internal use,Confidential,Highly restricted/export control,Model and dataset protection requirements
Security & Compliance,Compliance Requirements,Standard security,Basic controls,SOC2 + HIPAA,FedRAMP + ITAR,Regulatory frameworks for AI workloads
Performance,GPU Utilization Target,70-80% utilization,60%+ baseline,70-80% optimized,85%+ with advanced scheduling,Resource efficiency and ROI
Performance,Training Time Requirements,Weeks to train large models,Months acceptable,Weeks required,Days critical,Time-to-insight business impact
Environment,Software Stack,NVIDIA AI Enterprise + NGC,Basic NGC,AI Enterprise full suite,Custom platform + support,Software licensing and support level
Environment,Management Platform,Base Command Manager,Manual scheduling,Base Command,Enterprise platform + Run:ai,Cluster orchestration complexity

# ESTIMATE SETTINGS
#WIDTH: 17,22,14,173
#ALIGN: left,left,center,left
Phase,Variable Name,Multiplier,Description / Applies To Tasks
Discovery,DISCOVERY_MX,1,"All Discovery phase tasks (AI Requirements, Workload Analysis, Datacenter Assessment, Team Planning)"
Planning,PLANNING_MX,1,"All Planning phase tasks (DGX Architecture, Network Design, Storage Design, Facilities Planning)"
Development,DEVELOPMENT_MX,1,"All Development phase tasks (Site Preparation, DGX Installation, Network Fabric, Storage Deployment, Software Setup)"
Testing,TESTING_MX,1,"All Testing phase tasks (System Validation, Benchmark Testing, Workload Testing, Performance Tuning)"
Deployment,DEPLOYMENT_MX,1,"All Deployment phase tasks (Production Handoff, User Onboarding, Production Workloads)"
Training,TRAINING_MX,1,"All Training phase tasks (Administrator Training, User Training, Documentation)"
Closeout,CLOSEOUT_MX,1,"All Closeout phase tasks (Knowledge Transfer, Performance Baseline)"
Management,MANAGEMENT_MX,1,Project Management overhead - 10% of actual engineering hours
Leadership,LEADERSHIP_MX,1,Technical Leadership overhead - 10% of actual engineering hours

# Level of Effort
#WIDTH: 16,25,58,18,12,14,12,12,15,25,40
#ALIGN: left,left,left,left,right,center,right,right,right,left,left
Phase,Work Package,Task Description,Resource Type,Base Hours,Effort Multiplier,Actual Hours,Rate,Cost Estimate,Dependencies,Notes
Discovery,AI/ML Requirements,Conduct stakeholder interviews for AI workload requirements,EO Engineer,32,='Estimate Settings'!$C$3,=$E38*$F38,$200,"=TEXT($G38*$H38,""$#,##0"")",,Includes LLM training requirements and research team needs analysis
Discovery,Workload Analysis,Analyze AI models training datasets and compute requirements,EO Engineer,40,='Estimate Settings'!$C$3,=$E39*$F39,$200,"=TEXT($G39*$H39,""$#,##0"")",,Customer must provide representative AI workloads and model specifications
Discovery,Datacenter Assessment,Evaluate datacenter power cooling rack space and network capacity,EO Engineer,40,='Estimate Settings'!$C$3,=$E40*$F40,$200,"=TEXT($G40*$H40,""$#,##0"")",,Customer must provide facility specifications and available capacity
Discovery,Team Planning,Assess research team size roles and GPU resource allocation needs,EO Engineer,24,='Estimate Settings'!$C$3,=$E41*$F41,$175,"=TEXT($G41*$H41,""$#,##0"")",,Identifies multi-user access patterns and job scheduling requirements
Planning,DGX Architecture Design,Design DGX SuperPOD configuration with GPU compute and management,EO Engineer,48,='Estimate Settings'!$C$4,=$E42*$F42,$200,"=TEXT($G42*$H42,""$#,##0"")",AI/ML Requirements,Deliverable: DGX architecture diagram with compute storage and network design
Planning,Network Fabric Design,Design InfiniBand 400 Gbps fabric for multi-node distributed training,EO Engineer,40,='Estimate Settings'!$C$4,=$E43*$F43,$200,"=TEXT($G43*$H43,""$#,##0"")",DGX Architecture Design,NVIDIA Quantum-2 InfiniBand switches and topology design
Planning,Storage Architecture,Design 1 PB NVMe storage with Base Command for datasets and checkpoints,EO Engineer,32,='Estimate Settings'!$C$4,=$E44*$F44,$200,"=TEXT($G44*$H44,""$#,##0"")",Workload Analysis,High-performance parallel file system for training data streaming
Planning,Facilities Planning,Plan datacenter power cooling and rack infrastructure upgrades,EO Engineer,40,='Estimate Settings'!$C$4,=$E45*$F45,$175,"=TEXT($G45*$H45,""$#,##0"")",Datacenter Assessment,500 kW power distribution and thermal management for GPU density
Development,Site Preparation,Prepare datacenter site with power cooling and rack infrastructure,EO Engineer,80,='Estimate Settings'!$C$5,=$E46*$F46,$175,"=TEXT($G46*$H46,""$#,##0"")",Facilities Planning,Electrical upgrades HVAC installation and raised floor preparation
Development,DGX Installation,Install and configure 8x DGX H100 systems with GPU validation,EO Engineer,120,='Estimate Settings'!$C$5,=$E47*$F47,$200,"=TEXT($G47*$H47,""$#,##0"")",Site Preparation,Physical installation cabling and initial system configuration
Development,InfiniBand Fabric,Deploy and configure NVIDIA Quantum-2 400 Gbps InfiniBand network,EO Engineer,80,='Estimate Settings'!$C$5,=$E48*$F48,$225,"=TEXT($G48*$H48,""$#,##0"")",DGX Installation,InfiniBand switch configuration and multi-node fabric validation
Development,Storage Deployment,Deploy and configure NVIDIA Base Command 1 PB NVMe storage cluster,EO Engineer,64,='Estimate Settings'!$C$5,=$E49*$F49,$200,"=TEXT($G49*$H49,""$#,##0"")",InfiniBand Fabric,Storage cluster installation NFS configuration and performance tuning
Development,Base Command Setup,Install and configure NVIDIA Base Command Manager for job scheduling,EO Engineer,48,='Estimate Settings'!$C$5,=$E50*$F50,$225,"=TEXT($G50*$H50,""$#,##0"")",Storage Deployment,Cluster management platform multi-user configuration and quota setup
Development,NGC Container Deployment,Deploy NGC GPU-accelerated containers for PyTorch TensorFlow and RAPIDS,EO Engineer,40,='Estimate Settings'!$C$5,=$E51*$F51,$200,"=TEXT($G51*$H51,""$#,##0"")",Base Command Setup,AI framework containers model training validation and optimization
Development,Security Configuration,Configure security controls encryption and access management,EO Engineer,32,='Estimate Settings'!$C$5,=$E52*$F52,$200,"=TEXT($G52*$H52,""$#,##0"")",NGC Container Deployment,SSH key management user authentication and network security
Testing,System Validation,Validate DGX systems GPU health and hardware functionality,EO Engineer,32,='Estimate Settings'!$C$6,=$E53*$F53,$175,"=TEXT($G53*$H53,""$#,##0"")",Security Configuration,GPU diagnostics memory tests and system health verification
Testing,Network Performance,Test InfiniBand fabric throughput and multi-node communication,EO Engineer,24,='Estimate Settings'!$C$6,=$E54*$F54,$200,"=TEXT($G54*$H54,""$#,##0"")",System Validation,NCCL bandwidth tests and distributed training communication validation
Testing,Storage Performance,Test storage throughput IOPS and parallel file system performance,EO Engineer,24,='Estimate Settings'!$C$6,=$E55*$F55,$175,"=TEXT($G55*$H55,""$#,##0"")",Network Performance,Dataset streaming tests checkpoint I/O and read/write benchmarks
Testing,Workload Benchmarking,Run AI/ML benchmark workloads to validate training performance,EO Engineer,40,='Estimate Settings'!$C$6,=$E56*$F56,$200,"=TEXT($G56*$H56,""$#,##0"")",Storage Performance,Customer must provide representative training workloads for validation
