Question ID,Category,Sub-Category,Question,Guidance,Customer Response,Notes
BUS-001,Business Requirements,Project Information,What is the name of your GitHub Advanced Security project?,"Provide internal project reference name","",Internal project reference for tracking
BUS-002,Business Requirements,Project Information,Who is the primary stakeholder for this security initiative?,"Name, role, and decision-making authority","",Main point of contact and decision authority
BUS-003,Business Requirements,Business Drivers,What security challenges are you trying to solve?,"Common challenges: Security vulnerabilities in production, Compliance gaps, Manual code reviews, Third-party dependency risks, Secret leaks, Lack of security automation","",Primary business driver for GHAS investment
BUS-004,Business Requirements,Current State,What is your current application security workflow?,"Describe manual reviews, security tools, and pain points","",Current state baseline assessment
BUS-005,Business Requirements,Current State,What security tools are you currently using?,"Common tools: Snyk, Checkmarx, Veracode, SonarQube, BlackDuck, Manual code review","",Existing security tooling landscape
BUS-006,Business Requirements,Incidents,Have you experienced security breaches or vulnerabilities in production?,"Describe incidents, impact, and cost of remediation","",Security risk assessment
BUS-007,Business Requirements,Objectives,What are your primary goals for implementing GitHub Advanced Security?,"Common goals: Shift-left security, Reduce vulnerabilities, Meet compliance, Automate SAST/SCA, Prevent secret leaks, Reduce security debt","",Business objectives and expected outcomes
BUS-008,Business Requirements,Success Criteria,How will you measure GHAS success?,"Define KPIs: vulnerabilities detected in PRs, mean time to fix, security debt reduction, compliance audit pass rate","",Success metrics for project evaluation
BUS-009,Business Requirements,Timeline,What is your expected timeline for GHAS implementation?,"Typical ranges: 0-3 months, 3-6 months, 6-12 months","",Project timeline expectations and constraints
BUS-010,Business Requirements,Budget,What is your approved budget range for this security solution?,"Include GitHub Enterprise + GHAS licenses, professional services, training","",Budget constraints for solution sizing
BUS-011,Business Requirements,Future Vision,What is your long-term vision for application security?,"Consider expansion to more repos, custom policies, security training","",Future roadmap and scalability planning
BUS-012,Business Requirements,Compliance,What compliance standards must you meet?,"Common: SOC 2, PCI-DSS, HIPAA, FedRAMP, ISO 27001, GDPR","",Compliance requirements driving security investment
TECH-001,Technical Requirements,GitHub Environment,What GitHub platform are you using?,"Options: GitHub.com (public/private), GitHub Enterprise Cloud, GitHub Enterprise Server","",Current GitHub deployment model
TECH-002,Technical Requirements,GitHub Environment,How many GitHub organizations and repositories do you have?,"Provide org count, total repos, and repos requiring security scanning","",Repository scope and coverage planning
TECH-003,Technical Requirements,Developer Count,How many active developers/committers do you have?,"Active committers = unique users with commits in past 90 days (GHAS pricing)","",License count for GHAS pricing
TECH-004,Technical Requirements,Development Teams,How many development teams will use GHAS?,"List teams, repos per team, and primary languages","",Team structure and rollout planning
TECH-005,Technical Requirements,Programming Languages,What programming languages are used in your codebase?,"Languages: JavaScript/TypeScript, Python, Java, C#, Go, Ruby, C/C++, PHP, Swift, Kotlin","",CodeQL language support requirements
TECH-006,Technical Requirements,Application Types,What types of applications do you build?,"Types: Web apps, APIs, Mobile apps, Desktop apps, Serverless, Microservices","",Application security scanning requirements
TECH-007,Technical Requirements,Code Repositories,What is the size and complexity of your repositories?,"Metrics: lines of code, file count, monorepo vs multi-repo","",Scanning duration and resource planning
